Dates,Clusters,END DATE,PERLIS,KEDAH,P.PINANG,PERAK,SELANGOR,N.SEMBILAN,MELAKA,JOHOR,PAHANG,TERENGGANU,KELANTAN,SABAH,SARAWAK,WP.LABUAN,WP.K.LUMPUR,WP.PUTRAJAYA,,TOTAL,
15-October-2020,SAGUKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,,57,
16-October-2020,LEKIR,21-November-2020,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,,15,
16-October-2020,BUNTAR,,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,
16-October-2020,MERBOK,10-December-2020,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,24,
17-October-2020,TEDUH,31-December-2020,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,,13,
17-October-2020,MENARA,28-November-2020,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,,73,
17-October-2020,KELADI,11-February-2021,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,,31,
17-October-2020,SENTRAL,4-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,7,
17-October-2020,BAH BEMBAN,14-November-2020,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,12,
18-October-2020,BAH LAYANGAN,24-November-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,13,
18-October-2020,ALMA,2-December-2020,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,
18-October-2020,AUTO,13-December-2020,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,,84,
18-October-2020,PENJARA KEPAYAN,23-March-2021,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,,582,
19-October-2020,HENTIAN,,0,0,0,0,1101,0,0,0,0,0,0,0,0,0,0,0,,1101,
19-October-2020,BUKIT,3-December-2020,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,,16,
20-October-2020,KERTANG,7-December-2020,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,,21,
21-October-2020,BASUNG,13-December-2020,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,,21,
21-October-2020,INAI,1-December-2020,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,,11,
21-October-2020,TEMPAYAN,8-December-2020,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,,19,
21-October-2020,LONG,22-November-2020,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,,21,
21-October-2020,CAHAYA,2-December-2020,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,,26,
21-October-2020,BAH KOTA,25-November-2020,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,10,
21-October-2020,MELATI,8-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,,15,
21-October-2020,BINA LABUAN,12-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,5,
22-October-2020,TINUSA,20-January-2021,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,,33,
22-October-2020,SAUH,13-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,,17,
22-October-2020,JAMBU,30-November-2020,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,,15,
22-October-2020,SOFI,30-November-2020,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,,34,
22-October-2020,BAH MUTIARA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,10,
22-October-2020,UMBOO,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,4,
23-October-2020,SAMUDERA,18-January-2021,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,8,
23-October-2020,PALMA,6-December-2020,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,13,
23-October-2020,JAYA,31-December-2020,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,9,
24-October-2020,MESRA,18-January-2021,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,,22,
24-October-2020,MEGAH,29-November-2020,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,,15,
24-October-2020,KAYA,21-January-2021,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,,900,
24-October-2020,BAH KAYU,21-November-2020,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,17,
24-October-2020,BAKI,5-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,5,
24-October-2020,KEMPAS,8-December-2020,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,,8,
25-October-2020,TITIR,8-December-2020,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,12,
25-October-2020,OMADAL,27-November-2020,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,,21,
25-October-2020,BANDARAN,4-December-2020,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,12,
25-October-2020,JAMBUL,23-November-2020,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,8,
25-October-2020,BAYAN,21-December-2020,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,
25-October-2020,MENTARI,17-December-2020,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,17,
25-October-2020,JERNIH,29-December-2020,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,,15,
25-October-2020,SELADAH,5-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,7,
25-October-2020,MAKEKAR,6-December-2020,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,10,
26-October-2020,KAPOR,30-November-2020,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,,46,
26-October-2020,HAMPAR,23-November-2020,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,5,
26-October-2020,PENJARA TAPAH,30-November-2020,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,,11,
27-October-2020,LINTAS,10-December-2020,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,,6,
27-October-2020,LIMBUNGAN,12-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,20,
28-October-2020,SERI GAYA,26-November-2020,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,,17,
28-October-2020,GREENHILL,14-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,,25,
28-October-2020,IDAMAN,25-November-2020,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,11,
28-October-2020,BAYU,25-November-2020,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,,8,
29-October-2020,SAKTI,20-December-2020,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,,18,
29-October-2020,TUGUSAN,26-November-2020,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,,18,
29-October-2020,BAH MEDAN,15-January-2021,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,20,
29-October-2020,TAMAN LAUT,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,6,
29-October-2020,TAMAN BUNGA,11-January-2021,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,,23,
30-October-2020,RUMAH MERAH,10-January-2021,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,,57,
30-October-2020,TELIPOK,10-December-2020,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,10,
30-October-2020,SEMBULAN,7-December-2020,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,12,
30-October-2020,MERPATI,6-December-2020,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,,45,
30-October-2020,ASTAKA,25-December-2020,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,,32,
30-October-2020,TITIAN,21-February-2021,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,11,
30-October-2020,GALA,9-December-2020,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,,8,
30-October-2020,MELDRUM,30-November-2020,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,6,
1-November-2020,USAHA,3-March-2021,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,17,
1-November-2020,TEMBAGA,25-December-2020,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,
2-November-2020,PTS TAWAU,28-December-2020,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,,104,
2-November-2020,TENAGA,22-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,,57,
2-November-2020,GEDONG,29-December-2020,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,,12,
2-November-2020,WISMA SABERKAS,13-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,,8,
2-November-2020,SERIDANA,12-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,5,
3-November-2020,CERGAS,12-February-2021,0,0,0,0,0,1337,0,0,0,0,0,0,0,0,0,0,,1337,
3-November-2020,PERMATANG,21-December-2020,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,
4-November-2020,PENJARA SANDAKAN,25-January-2021,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,,39,
4-November-2020,DIALISIS,27-January-2021,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,,19,
4-November-2020,SEPANGGAR,15-December-2020,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,,8,
4-November-2020,AERO,5-December-2020,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,11,
4-November-2020,LENGKUK,7-January-2021,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,24,
4-November-2020,GADING,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,,7,
5-November-2020,SUTERA,7-January-2021,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,,15,
5-November-2020,RIA-30,6-February-2021,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,,11,
5-November-2020,TAMAR,28-December-2020,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,10,
5-November-2020,INTAN,28-December-2020,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,
5-November-2020,DANAU,21-December-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,,8,
6-November-2020,MAMPULUT,24-December-2020,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,,28,
6-November-2020,FORES,5-December-2020,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,,20,
6-November-2020,RENGAS,24-December-2020,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,,9,
7-November-2020,SOFTWOOD LD,19-December-2020,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,,14,
7-November-2020,TERATAI,17-April-2021,0,0,0,0,4036,0,0,0,0,0,0,0,0,0,0,0,,4036,
7-November-2020,TAPAK BINA DAMANLELA,13-March-2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539,0,,1539,
7-November-2020,MAHKOTA,9-December-2020,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,9,
8-November-2020,IKHTISAS,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,,22,
8-November-2020,BERENDAM,31-December-2020,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,8,
